doc_id,arxiv_id,title,abstract,authors,published,updated,primary_category,domain,topic_id,topic,source_url,query
D0001,2501.09292v3,To Retrieve or Not to Retrieve? Uncertainty Detection for Dynamic Retrieval Augmented Generation,"Retrieval-Augmented Generation equips large language models with the capability to retrieve external knowledge, thereby mitigating hallucinations by incorporating information beyond the model's intrinsic abilities. However, most prior works have focused on invoking retrieval deterministically, which makes it unsuitable for tasks such as long-form question answering. Instead, dynamically performing retrieval by invoking it only when the underlying LLM lacks the required knowledge can be more efficient. In this context, we delve deeper into the question, ""To Retrieve or Not to Retrieve?"" by exploring multiple uncertainty detection methods. We evaluate these methods for the task of long-form question answering, employing dynamic retrieval, and present our comparisons. Our findings suggest that uncertainty detection metrics, such as Degree Matrix Jaccard and Eccentricity, can reduce the number of retrieval calls by almost half, with only a slight reduction in question-answering accuracy.",Kaustubh D. Dhole,2025-01-16T04:56:33Z,2025-03-18T16:42:17Z,cs.CL,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2501.09292v3,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0002,2504.05324v1,Hybrid Retrieval for Hallucination Mitigation in Large Language Models: A Comparative Analysis,"Large Language Models (LLMs) excel in language comprehension and generation but are prone to hallucinations, producing factually incorrect or unsupported outputs. Retrieval Augmented Generation (RAG) systems address this issue by grounding LLM responses with external knowledge. This study evaluates the relationship between retriever effectiveness and hallucination reduction in LLMs using three retrieval approaches: sparse retrieval based on BM25 keyword search, dense retrieval using semantic search with Sentence Transformers, and a proposed hybrid retrieval module. The hybrid module incorporates query expansion and combines the results of sparse and dense retrievers through a dynamically weighted Reciprocal Rank Fusion score. Using the HaluBench dataset, a benchmark for hallucinations in question answering tasks, we assess retrieval performance with metrics such as mean average precision and normalised discounted cumulative gain, focusing on the relevance of the top three retrieved documents. Results show that the hybrid retriever achieves better relevance scores, outperforming both sparse and dense retrievers. Further evaluation of LLM-generated answers against ground truth using metrics such as accuracy, hallucination rate, and rejection rate reveals that the hybrid retriever achieves the highest accuracy on fails, the lowest hallucination rate, and the lowest rejection rate. These findings highlight the hybrid retriever's ability to enhance retrieval relevance, reduce hallucination rates, and improve LLM reliability, emphasising the importance of advanced retrieval techniques in mitigating hallucinations and improving response accuracy.",Chandana Sree Mala; Gizem Gezici; Fosca Giannotti,2025-02-28T10:13:33Z,2025-02-28T10:13:33Z,cs.IR,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2504.05324v1,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0003,2509.16369v1,Enhancing Financial RAG with Agentic AI and Multi-HyDE: A Novel Approach to Knowledge Retrieval and Hallucination Reduction,"Accurate and reliable knowledge retrieval is vital for financial question-answering, where continually updated data sources and complex, high-stakes contexts demand precision. Traditional retrieval systems rely on a single database and retriever, but financial applications require more sophisticated approaches to handle intricate regulatory filings, market analyses, and extensive multi-year reports. We introduce a framework for financial Retrieval Augmented Generation (RAG) that leverages agentic AI and the Multi-HyDE system, an approach that generates multiple, nonequivalent queries to boost the effectiveness and coverage of retrieval from large, structured financial corpora. Our pipeline is optimized for token efficiency and multi-step financial reasoning, and we demonstrate that their combination improves accuracy by 11.2% and reduces hallucinations by 15%. Our method is evaluated on standard financial QA benchmarks, showing that integrating domain-specific retrieval mechanisms such as Multi-HyDE with robust toolsets, including keyword and table-based retrieval, significantly enhances both the accuracy and reliability of answers. This research not only delivers a modular, adaptable retrieval framework for finance but also highlights the importance of structured agent workflows and multi-perspective retrieval for trustworthy deployment of AI in high-stakes financial applications.",Akshay Govind Srinivasan; Ryan Jacob George; Jayden Koshy Joe; Hrushikesh Kant; Harshith M R; Sachin Sundar; Sudharshan Suresh; Rahul Vimalkanth; Vijayavallabh,2025-09-19T19:24:30Z,2025-09-19T19:24:30Z,cs.IR,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2509.16369v1,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0004,2310.04205v2,Keyword Augmented Retrieval: Novel framework for Information Retrieval integrated with speech interface,"Retrieving answers in a quick and low cost manner without hallucinations from a combination of structured and unstructured data using Language models is a major hurdle. This is what prevents employment of Language models in knowledge retrieval automation. This becomes accentuated when one wants to integrate a speech interface on top of a text based knowledge retrieval system. Besides, for commercial search and chat-bot applications, complete reliance on commercial large language models (LLMs) like GPT 3.5 etc. can be very costly. In the present study, the authors have addressed the aforementioned problem by first developing a keyword based search framework which augments discovery of the context from the document to be provided to the LLM. The keywords in turn are generated by a relatively smaller LLM and cached for comparison with keywords generated by the same smaller LLM against the query raised. This significantly reduces time and cost to find the context within documents. Once the context is set, a larger LLM uses that to provide answers based on a prompt tailored for Q\&A. This research work demonstrates that use of keywords in context identification reduces the overall inference time and cost of information retrieval. Given this reduction in inference time and cost with the keyword augmented retrieval framework, a speech based interface for user input and response readout was integrated. This allowed a seamless interaction with the language model.",Anupam Purwar; Rahul Sundar,2023-10-06T12:44:04Z,2023-10-29T09:25:47Z,cs.IR,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2310.04205v2,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0005,2510.17733v1,"Train for Truth, Keep the Skills: Binary Retrieval-Augmented Reward Mitigates Hallucinations","Language models often generate factually incorrect information unsupported by their training data, a phenomenon known as extrinsic hallucination. Existing mitigation approaches often degrade performance on open-ended generation and downstream tasks, limiting their practical utility. We propose an online reinforcement learning method using a novel binary retrieval-augmented reward (RAR) to address this tradeoff. Unlike continuous reward schemes, our approach assigns a reward of one only when the model's output is entirely factually correct, and zero otherwise. We evaluate our method on Qwen3 reasoning models across diverse tasks. For open-ended generation, binary RAR achieves a 39.3% reduction in hallucination rates, substantially outperforming both supervised training and continuous-reward RL baselines. In short-form question answering, the model learns calibrated abstention, strategically outputting ""I don't know"" when faced with insufficient parametric knowledge. This yields 44.4% and 21.7% fewer incorrect answers on PopQA and GPQA, respectively. Crucially, these factuality gains come without performance degradation on instruction following, math, or code, whereas continuous-reward RL, despite improving factuality, induces quality regressions.",Tong Chen; Akari Asai; Luke Zettlemoyer; Hannaneh Hajishirzi; Faeze Brahman,2025-10-20T16:45:43Z,2025-10-20T16:45:43Z,cs.CL,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2510.17733v1,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0006,2505.16849v2,Walk&Retrieve: Simple Yet Effective Zero-shot Retrieval-Augmented Generation via Knowledge Graph Walks,"Large Language Models (LLMs) have showcased impressive reasoning abilities, but often suffer from hallucinations or outdated knowledge. Knowledge Graph (KG)-based Retrieval-Augmented Generation (RAG) remedies these shortcomings by grounding LLM responses in structured external information from a knowledge base. However, many KG-based RAG approaches struggle with (i) aligning KG and textual representations, (ii) balancing retrieval accuracy and efficiency, and (iii) adapting to dynamically updated KGs. In this work, we introduce Walk&Retrieve, a simple yet effective KG-based framework that leverages walk-based graph traversal and knowledge verbalization for corpus generation for zero-shot RAG. Built around efficient KG walks, our method does not require fine-tuning on domain-specific data, enabling seamless adaptation to KG updates, reducing computational overhead, and allowing integration with any off-the-shelf backbone LLM. Despite its simplicity, Walk&Retrieve performs competitively, often outperforming existing RAG systems in response accuracy and hallucination reduction. Moreover, it demonstrates lower query latency and robust scalability to large KGs, highlighting the potential of lightweight retrieval strategies as strong baselines for future RAG research.",Martin Böckling; Heiko Paulheim; Andreea Iana,2025-05-22T16:11:35Z,2025-05-28T07:44:23Z,cs.IR,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2505.16849v2,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0007,2502.19280v2,Efficient Federated Search for Retrieval-Augmented Generation using Lightweight Routing,"Large language models (LLMs) achieve remarkable performance across domains but remain prone to hallucinations and inconsistencies. Retrieval-augmented generation (RAG) mitigates these issues by augmenting model inputs with relevant documents retrieved from external sources. In many real-world scenarios, relevant knowledge is fragmented across organizations or institutions, motivating the need for federated search mechanisms that can aggregate results from heterogeneous data sources without centralizing the data. We introduce RAGRoute, a lightweight routing mechanism for federated search in RAG systems that dynamically selects relevant data sources at query time using a neural classifier, avoiding indiscriminate querying. This selective routing reduces communication overhead and end-to-end latency while preserving retrieval quality, achieving up to 80.65% reductions in communication volume and 52.50% reductions in latency across three benchmarks, while matching the accuracy of querying all sources.",Akash Dhasade; Rachid Guerraoui; Anne-Marie Kermarrec; Diana Petrescu; Rafael Pires; Mathis Randl; Martijn de Vos,2025-02-26T16:36:24Z,2026-04-09T13:52:15Z,cs.LG,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2502.19280v2,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0008,2604.04969v1,MG$^2$-RAG: Multi-Granularity Graph for Multimodal Retrieval-Augmented Generation,"Retrieval-Augmented Generation (RAG) mitigates hallucinations in Multimodal Large Language Models (MLLMs), yet existing systems struggle with complex cross-modal reasoning. Flat vector retrieval often ignores structural dependencies, while current graph-based methods rely on costly ``translation-to-text'' pipelines that discard fine-grained visual information. To address these limitations, we propose \textbf{MG$^2$-RAG}, a lightweight \textbf{M}ulti-\textbf{G}ranularity \textbf{G}raph \textbf{RAG} framework that jointly improves graph construction, modality fusion, and cross-modal retrieval. MG$^2$-RAG constructs a hierarchical multimodal knowledge graph by combining lightweight textual parsing with entity-driven visual grounding, enabling textual entities and visual regions to be fused into unified multimodal nodes that preserve atomic evidence. Building on this representation, we introduce a multi-granularity graph retrieval mechanism that aggregates dense similarities and propagates relevance across the graph to support structured multi-hop reasoning. Extensive experiments across four representative multimodal tasks (i.e., retrieval, knowledge-based VQA, reasoning, and classification) demonstrate that MG$^2$-RAG consistently achieves state-of-the-art performance while reducing graph construction overhead with an average 43.3$\times$ speedup and 23.9$\times$ cost reduction compared with advanced graph-based frameworks.",Sijun Dai; Qiang Huang; Xiaoxing You; Jun Yu,2026-04-04T07:14:01Z,2026-04-04T07:14:01Z,cs.IR,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2604.04969v1,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0009,2605.03534v1,SURE-RAG: Sufficiency and Uncertainty-Aware Evidence Verification for Selective Retrieval-Augmented Generation,"Retrieval-augmented generation (RAG) grounds answers in retrieved passages, but retrieval is not verification: a passage can be topical and still fail to justify the answer. We frame this gap as evidence sufficiency verification for selective RAG answering: given a question, a candidate answer, and retrieved evidence, predict whether the evidence supports, refutes, or is insufficient, and abstain unless support is established. We present SURE-RAG, a transparent aggregation protocol built on the observation that evidence sufficiency is a set-level property: missing hops and unresolved conflicts cannot be detected by independent passage scoring. A shared pair-level claim-evidence verifier produces local relation distributions, which SURE-RAG aggregates into interpretable answer-level signals -- coverage, relation strength, disagreement, conflict, and retrieval uncertainty -- yielding a three-way decision and an auditable selective score. We evaluate on HotpotQA-RAG v3, a controlled multi-hop benchmark, under an artifact-aware protocol (shortcut baselines, counterfactual swaps, no-oracle checks, GPT-4o audits). Calibrated SURE-RAG reaches 0.9075 Macro-F1 (0.8951 +/- 0.0069), substantially above DeBERTa mean-pooling (0.6516) and a GPT-4o judge (0.7284), while matching a strong but opaque concat cross-encoder (0.8888 +/- 0.0109) with full auditability. Risk at 30% coverage drops from 0.2588 to 0.1642, a 37% reduction in unsafe answers. To deliberately probe the task boundary, we further contrast SURE-RAG with GPT-4o on HaluBench unsafe detection: the ranking reverses (0.3343 vs 0.7389 unsafe-F1), establishing that controlled sufficiency verification and natural hallucination detection are distinct problems.",Jingxi Qiu; Zeyu Han; Cheng Huang,2026-05-05T09:05:40Z,2026-05-05T09:05:40Z,cs.CL,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2605.03534v1,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
D0010,2507.02949v2,RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Entity-Context Divergence,"As Large Language Models (LLMs) continue to advance, Retrieval-Augmented Generation (RAG) has emerged as a vital technique to enhance factual accuracy by integrating external knowledge into the generation process. However, LLMs often fail to faithfully integrate retrieved evidence into their generated responses, leading to factual inconsistencies. To quantify this gap, we introduce Entity-Context Divergence (ECD), a metric that measures the extent to which retrieved information is accurately reflected in model outputs. We systematically evaluate contemporary LLMs on their ability to preserve factual consistency in retrieval-augmented settings, a capability we define as RAG-ability. Our empirical analysis reveals that RAG-ability remains low across most LLMs, highlighting significant challenges in entity retention and context fidelity. This paper introduces Radiant (Retrieval AugmenteD entIty-context AligNmenT), a novel framework that merges RAG with alignment designed to optimize the interplay between retrieved evidence and generated content. Radiant extends Direct Preference Optimization (DPO) to teach LLMs how to integrate provided additional information into subsequent generations. As a behavior correction mechanism, Radiant boosts RAG performance across varied retrieval scenarios, such as noisy web contexts, knowledge conflicts, and hallucination reduction. This enables more reliable, contextually grounded, and factually coherent content generation.",Vipula Rawte; Rajarshi Roy; Gurpreet Singh; Danush Khanna; Yaswanth Narsupalli; Basab Ghosh; Abhay Gupta; Argha Kamal Samanta; Aditya Shingote; Aadi Krishna Vikram; Vinija Jain; Aman Chadha; Amit Sheth; Amitava Das,2025-06-28T21:40:35Z,2025-09-06T02:05:50Z,cs.CL,LLMs_RAG,T001,Hallucination reduction in retrieval-augmented generation systems,http://arxiv.org/abs/2507.02949v2,all:hallucination AND all:reduction AND all:retrieval AND all:augmented
